2026-04-12 10:49:11.487 | INFO     | utils.logger:wrapper:67 | >> START -- Removing duplicates
2026-04-12 10:49:11.488 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Building context string (0.00s)
2026-04-12 10:49:11.489 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Removing duplicates (0.00s)
2026-04-12 10:49:11.490 | INFO     | models.llm.llm_loader:generate_json:89 | Generating JSON report (attempt 1/3)...
2026-04-12 10:49:11.490 | INFO     | utils.logger:wrapper:67 | >> START -- Tagging severity
2026-04-12 10:49:11.492 | INFO     | services.processor.severity_tagger:tag:64 | Severity distribution: {'high': 2, 'medium': 15, 'low': 3}
2026-04-12 10:49:11.492 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Tagging severity (0.00s)
2026-04-12 10:49:11.493 | INFO     | utils.logger:wrapper:67 | >> START -- Reranking documents
2026-04-12 10:49:11.820 | INFO     | services.reranker.reranker:rerank:84 | Reranked 20 → 10 docs. Top scores: ['-9.362', '-10.475', '-10.628', '-10.707', '-10.842'], Bottom: ['-11.280', '-11.333', '-11.344']
2026-04-12 10:49:11.822 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Reranking documents (0.33s)
2026-04-12 10:49:11.822 | INFO     | utils.logger:wrapper:67 | >> START -- Generating survey report
2026-04-12 10:49:11.822 | INFO     | utils.logger:wrapper:67 | >> START -- Building context string
2026-04-12 10:49:11.823 | INFO     | utils.logger:wrapper:67 | >> START -- Clustering documents
2026-04-12 10:49:11.823 | INFO     | services.processor.clusterer:cluster:38 | Clustered 10 docs into 2 groups: {'mosquito_breeding': 3, 'health': 7}
2026-04-12 10:49:11.823 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Clustering documents (0.00s)
2026-04-12 10:49:11.823 | INFO     | services.processor.clusterer:build_context:112 | Context built: 3019 chars from 10 documents
2026-04-12 10:49:11.824 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Building context string (0.00s)
2026-04-12 10:49:11.824 | INFO     | models.llm.llm_loader:generate_json:89 | Generating JSON report (attempt 1/3)...
2026-04-12 10:49:40.699 | DEBUG    | models.llm.llm_loader:generate_json:103 | Raw LLM response length: 5908 chars
2026-04-12 10:49:40.699 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:49:40.701 | DEBUG    | utils.json_parser:extract_json:45 | JSON extracted via strategy: code_fence_extraction
2026-04-12 10:49:40.701 | INFO     | models.llm.llm_loader:generate_json:129 | JSON report generated successfully (14 top-level keys)
2026-04-12 10:49:40.701 | INFO     | services.report_generator.backend_report_generator:generate:71 | Backend report generated: 2 findings
2026-04-12 10:49:40.701 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Generating backend report (29.22s)
2026-04-12 10:49:40.701 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Backend Report Pipeline (34.08s)
2026-04-12 10:49:47.136 | DEBUG    | models.llm.llm_loader:generate_json:103 | Raw LLM response length: 7597 chars
2026-04-12 10:49:47.136 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'direct_parse' failed: Expecting value: line 1 column 1 (char 0)
2026-04-12 10:49:47.138 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'code_fence_extraction' failed: Invalid control character at: line 124 column 21 (char 6657)
2026-04-12 10:49:47.139 | DEBUG    | utils.json_parser:extract_json:48 | Strategy 'brace_extraction' failed: Invalid control character at: line 124 column 21 (char 6657)
2026-04-12 10:49:47.139 | ERROR    | utils.json_parser:extract_json:51 | All JSON extraction strategies failed
2026-04-12 10:49:47.140 | WARNING  | models.llm.llm_loader:generate_json:111 | Could not parse JSON from response (attempt 1). Response preview: ```json
{
  "report_type": "survey_report",
  "category": "Health",
  "generated_at": "2026-04-12T05:19:11.824708+00:00",
  "executive_summary": "Analysis reveals two critical public health failures: 
2026-04-12 10:49:49.140 | INFO     | models.llm.llm_loader:generate_json:89 | Generating JSON report (attempt 2/3)...
2026-04-12 10:50:26.932 | DEBUG    | models.llm.llm_loader:generate_json:103 | Raw LLM response length: 7794 chars
